dataset_name,method,fusion,modality_combo,coefficient,target,value,std
MedicalImages,residual_gated_fusion_vector_alpha__raw_STFT,residual_gated_fusion_vector_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.34164947271347046,0.2683495581150055
MedicalImages,residual_gated_fusion_vector_alpha__raw_GAF,residual_gated_fusion_vector_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.32992488145828247,0.28005337715148926
MedicalImages,residual_gated_fusion_vector_alpha__raw_stats_STFT,residual_gated_fusion_vector_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.3571142852306366,0.32159197330474854
MedicalImages,residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,residual_gated_fusion_vector_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.38055965304374695,0.3346002399921417
MedicalImages,residual_gated_fusion_scalar_alpha__raw_STFT,residual_gated_fusion_scalar_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.33610114455223083,0.2710776925086975
MedicalImages,residual_gated_fusion_scalar_alpha__raw_GAF,residual_gated_fusion_scalar_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.45644184947013855,0.2078613042831421
MedicalImages,residual_gated_fusion_scalar_alpha__raw_stats_STFT,residual_gated_fusion_scalar_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.6805501580238342,0.1911233812570572
MedicalImages,residual_gated_fusion_scalar_alpha__raw_stats_GAF_STFT,residual_gated_fusion_scalar_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.8044114112854004,0.17119643092155457
MedicalImages,film_fusion__raw_STFT,film_fusion,raw_STFT,gamma_abs_mean,raw_modulation,0.445536732673645,0.10640234500169754
MedicalImages,film_fusion__raw_STFT,film_fusion,raw_STFT,beta_abs_mean,raw_shift,0.24750860035419464,0.14281433820724487
MedicalImages,film_fusion__raw_GAF,film_fusion,raw_GAF,gamma_abs_mean,raw_modulation,0.4382556974887848,0.11345931887626648
MedicalImages,film_fusion__raw_GAF,film_fusion,raw_GAF,beta_abs_mean,raw_shift,0.24833962321281433,0.15454337000846863
MedicalImages,film_fusion__raw_stats_STFT,film_fusion,raw_stats_STFT,gamma_abs_mean,raw_modulation,0.41495850682258606,0.1280914843082428
MedicalImages,film_fusion__raw_stats_STFT,film_fusion,raw_stats_STFT,beta_abs_mean,raw_shift,0.3768063187599182,0.141941636800766
MedicalImages,film_fusion__raw_stats_GAF_STFT,film_fusion,raw_stats_GAF_STFT,gamma_abs_mean,raw_modulation,0.4236864447593689,0.12253507971763611
