family,dataset,modalities,feature_combination,median_macro_f1,is_best_for_dataset
raw_centered_residual,Crop,raw+gaf,raw+GAF,0.7035449284000115,False
raw_centered_residual,Crop,raw+gaf+stft,raw+GAF+STFT,0.7124174330945946,False
raw_centered_residual,Crop,raw+stats,raw+stats,0.7059106403881131,False
raw_centered_residual,Crop,raw+stats+gaf,raw+stats+GAF,0.7114334705200759,False
raw_centered_residual,Crop,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.7144594164640355,True
raw_centered_residual,Crop,raw+stats+stft,raw+stats+STFT,0.7079076537396988,False
raw_centered_residual,Crop,raw+stft,raw+STFT,0.7060475198554675,False
raw_centered_residual,ElectricDevices,raw+gaf,raw+GAF,0.6388526170678427,False
raw_centered_residual,ElectricDevices,raw+gaf+stft,raw+GAF+STFT,0.6775605720641893,False
raw_centered_residual,ElectricDevices,raw+stats,raw+stats,0.6815976625685903,False
raw_centered_residual,ElectricDevices,raw+stats+gaf,raw+stats+GAF,0.6641216315018293,False
raw_centered_residual,ElectricDevices,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.6702207587440858,False
raw_centered_residual,ElectricDevices,raw+stats+stft,raw+stats+STFT,0.6816861001176291,True
raw_centered_residual,ElectricDevices,raw+stft,raw+STFT,0.6564674024813701,False
raw_centered_residual,FordA,raw+gaf,raw+GAF,0.937066275140317,False
raw_centered_residual,FordA,raw+gaf+stft,raw+GAF+STFT,0.943934760448522,False
raw_centered_residual,FordA,raw+stats,raw+stats,0.9195906432748536,False
raw_centered_residual,FordA,raw+stats+gaf,raw+stats+GAF,0.9287224264705882,False
raw_centered_residual,FordA,raw+stats+gaf+stft,raw+stats+GAF+STFT,0.9469637309982069,True
raw_centered_residual,FordA,raw+stats+stft,raw+stats+STFT,0.9363051470588236,False
raw_centered_residual,FordA,raw+stft,raw+STFT,0.9438770350894934,False
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+gaf,raw+GAF,0.8540764759865443,False
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+gaf+stft,raw+GAF+STFT,0.8522539042246216,False
raw_centered_residual,NonInvasiveFetalECGThorax1,raw+stats,raw+stats,0.8895576291916664,False
