method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
raw_residual_bottleneck__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.22994344501495362,0.9392,0.9414832223527877,0.9430395321339594,0.9414832223527877,0.9395767896800449,0.942946080441746,0.9392,0.9382714487511874
raw_residual_bottleneck__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.21701178421974182,0.9344,0.9372291546204589,0.9405098931315282,0.9372291546204589,0.9345284442388491,0.9401517792642364,0.9344,0.9326322811754424
raw_residual_bottleneck__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.15428166561126708,0.952,0.9521088286305678,0.9531872947940286,0.9521088286305678,0.9522077292343768,0.9526454370018015,0.952,0.9518800969459249
raw_residual_bottleneck__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.1674861135482788,0.9408,0.9424913733609386,0.94582865699234,0.9424913733609386,0.942383311595224,0.9445267973142434,0.9408,0.9408963241487145
context_only_residual_bottleneck__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.35569653911590576,0.8944,0.8961862358016712,0.9050243490787249,0.8961862358016712,0.8936267068310195,0.9031138471527869,0.8944,0.8919261900119363
context_only_residual_bottleneck__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.25893658185005186,0.9104,0.9134806234806234,0.920694630728572,0.9134806234806234,0.9097535479468165,0.9207191809716796,0.9104,0.9077504790590132
context_only_residual_bottleneck__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.15023155944347383,0.9568,0.9580267478093564,0.9581203281025215,0.9580267478093564,0.9574163955430889,0.9579278075180023,0.9568,0.9567051657481612
context_only_residual_bottleneck__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.16222941379547118,0.9376,0.9382456030282117,0.9432986286533198,0.9382456030282117,0.9358767348579362,0.9426788076911647,0.9376,0.9353969230245173
raw_conditioned_context_bottleneck__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.25263820128440856,0.9264,0.9265855791632188,0.9353662082727009,0.9265855791632188,0.9268954171470022,0.9339440467908972,0.9264,0.9260563331786534
raw_conditioned_context_bottleneck__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.1912224980354309,0.9296,0.9305944860292686,0.93481398720971,0.9305944860292686,0.9296761569140389,0.9341956821795658,0.9296,0.928844265265602
raw_conditioned_context_bottleneck__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.25590108926296234,0.9296,0.9317486091399136,0.9385411750781281,0.9317486091399136,0.9308174204023045,0.9383744775289391,0.9296,0.9296152904860934
raw_conditioned_context_bottleneck__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.2490635639190674,0.9184,0.921935504109417,0.9351704086461416,0.921935504109417,0.9175968765038872,0.9356386288130474,0.9184,0.9155964572125835
