dataset_name,method,family,modality_combo,coefficient,target,value,std
FacesUCR,raw_conditioned_context_bottleneck__raw_STFT,raw_conditioned_context_bottleneck,raw_STFT,alpha_abs_mean,residual_delta,0.29738935828208923,0.25533542037010193
FacesUCR,raw_conditioned_context_bottleneck__raw_GAF,raw_conditioned_context_bottleneck,raw_GAF,alpha_abs_mean,residual_delta,0.2787480056285858,0.2227395474910736
FacesUCR,raw_conditioned_context_bottleneck__raw_stats_STFT,raw_conditioned_context_bottleneck,raw_stats_STFT,alpha_abs_mean,residual_delta,0.38671383261680603,0.29915159940719604
FacesUCR,raw_conditioned_context_bottleneck__raw_stats_GAF_STFT,raw_conditioned_context_bottleneck,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.35452011227607727,0.30648282170295715
SwedishLeaf,raw_residual_bottleneck__raw_STFT,raw_residual_bottleneck,raw_STFT,alpha_abs_mean,residual_delta,0.1794489026069641,0.23831681907176971
SwedishLeaf,raw_residual_bottleneck__raw_GAF,raw_residual_bottleneck,raw_GAF,alpha_abs_mean,residual_delta,0.18282777070999146,0.24209214746952057
SwedishLeaf,raw_residual_bottleneck__raw_stats_STFT,raw_residual_bottleneck,raw_stats_STFT,alpha_abs_mean,residual_delta,0.2622528672218323,0.32900547981262207
SwedishLeaf,raw_residual_bottleneck__raw_stats_GAF_STFT,raw_residual_bottleneck,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.16835865378379822,0.2622544467449188
SwedishLeaf,context_only_residual_bottleneck__raw_STFT,context_only_residual_bottleneck,raw_STFT,alpha_abs_mean,residual_delta,0.1994711011648178,0.27078908681869507
SwedishLeaf,context_only_residual_bottleneck__raw_GAF,context_only_residual_bottleneck,raw_GAF,alpha_abs_mean,residual_delta,0.15608437359333038,0.2302141785621643
SwedishLeaf,context_only_residual_bottleneck__raw_stats_STFT,context_only_residual_bottleneck,raw_stats_STFT,alpha_abs_mean,residual_delta,0.2673996686935425,0.3275357484817505
SwedishLeaf,context_only_residual_bottleneck__raw_stats_GAF_STFT,context_only_residual_bottleneck,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.1440577208995819,0.24332256615161896
SwedishLeaf,raw_conditioned_context_bottleneck__raw_STFT,raw_conditioned_context_bottleneck,raw_STFT,alpha_abs_mean,residual_delta,0.22815339267253876,0.2699596583843231
SwedishLeaf,raw_conditioned_context_bottleneck__raw_GAF,raw_conditioned_context_bottleneck,raw_GAF,alpha_abs_mean,residual_delta,0.1771457940340042,0.24785032868385315
SwedishLeaf,raw_conditioned_context_bottleneck__raw_stats_STFT,raw_conditioned_context_bottleneck,raw_stats_STFT,alpha_abs_mean,residual_delta,0.24664539098739624,0.31020858883857727
SwedishLeaf,raw_conditioned_context_bottleneck__raw_stats_GAF_STFT,raw_conditioned_context_bottleneck,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.22028130292892456,0.2904294431209564
